Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,1,3.0,3.0,3.0,3,1,1,2,0,0,0,1,0.0,0.0,0.0,0.0
2016.0,1,1.0,1.0,3.0,3,1,1,2,0,0,0,1,0.0,0.0,0.0,0.0
