Number of Authors,Country/Region,Number of Countries/Regions,Institutions,Number of Institutions,Colaboracion,Number of national institutions
4.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México| Instituto Nacional de Pediatria,3.0,Nacional,3.0
3.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
3.0,Mexico| Colombia,2.0,Universidad Autónoma Metropolitana| Universidad de los Llanos,2.0,Internacional,1.0
6.0,Mexico| France| Russian Federation,3.0,Universidad Autónoma Metropolitana| CNRS| Institut national des sciences appliquées de Toulouse| RAS - Ioffe Physico Technical Institute| Russian Academy of Sciences| Université Fédérale Toulouse Midi-Pyrénées| Université Paul Sabatier Toulouse III,7.0,Internacional,1.0
4.0,Chile| Mexico,2.0,Universidad Autónoma Metropolitana| Universidad de Concepción,2.0,Internacional,1.0
2.0,Mexico| Saint Lucia,2.0,Universidad Autónoma Metropolitana,1.0,Internacional,1.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
8.0,Mexico,1.0,Universidad Autónoma Metropolitana| Hospital Infantil de Mexico Federico Gomez| Universidad Nacional Autónoma de México,3.0,Nacional,3.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
5.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
5.0,United Kingdom| Mexico| Brazil,3.0,Universidad Autónoma Metropolitana| Centro de Investigaciones y Estudios Superiores en Antropología Social| King's College London| Universidade Federal do Recôncavo da Bahia| Universidad Veracruzana,5.0,Internacional,3.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,2.0,Nacional,2.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
3.0,Mexico,1.0,Consejo Nacional de Ciencia y Tecnologia Mexico| Universidad Autónoma Metropolitana,2.0,Nacional,2.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Autónoma de Guerrero,2.0,Nacional,2.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
9.0,Mexico,1.0,Hospital Juárez de México| Universidad de Guanajuato| Universidad Autónoma Metropolitana| Universidad de Colima,4.0,Nacional,4.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
3.0,Mexico,1.0,Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,2.0,Nacional,2.0
6.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,2.0,Nacional,2.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Autonoma de San Luis Potosi,2.0,Personal,2.0
6.0,Mexico| France,2.0,Benemerita Universidad Autonoma de Puebla| Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional| Universidad Autónoma Metropolitana| Universidad La Salle| Universidad Iberoamericana (UIA)| Instituto Politécnico Nacional| Université de Lorraine| Universidad Nacional Autónoma de México,8.0,Internacional,7.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
3.0,Mexico,1.0,Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,2.0,Nacional,2.0
3.0,Mexico,1.0,Benemerita Universidad Autonoma de Puebla| Universidad Autónoma Metropolitana,2.0,Nacional,2.0
9.0,Mexico| Cuba,2.0,"Instituto Nacional de Investigaciones Forestales, Agricolas y Pecuarias| Universidad Autónoma Metropolitana| Universidad Autonoma de San Luis Potosi| Instituto Mexicano del Seguro Social| Universidad Autonoma del Estado de Mexico| Universidad de Matanzas Camilo Cienfuegos",6.0,Internacional,5.0
3.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana| Instituto Tecnologico de Estudios Superiores de Monterrey,2.0,Nacional,2.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
4.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
6.0,Spain| Mexico| Germany| Italy,4.0,University of Milan - Bicocca| University of Hamburg| Universidad Autónoma Metropolitana| University of Granada,4.0,Internacional,1.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,2.0,Nacional,2.0
6.0,Chile| Mexico| Ecuador| Spain,4.0,Universidad Técnica del Norte| Universidad de las Américas - Chile| Universidad Tecnológica Equinoccial| Universidad Autónoma Metropolitana| Universidad del Valle de México| Autonomous University of Barcelona| Universidad Nacional Autónoma de México,7.0,Internacional,3.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
5.0,Mexico| Hong Kong| United States,3.0,Benemerita Universidad Autonoma de Puebla| Universidad Autónoma Metropolitana| University of Houston,3.0,Internacional,2.0
7.0,Mexico,1.0,Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional| Universidad Autónoma Metropolitana| Centro de Investigacion Cientifica y de Educacion Superior de Ensenada| Instituto Politécnico Nacional| Universidad Nacional Autónoma de México,5.0,Nacional,5.0
3.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,2.0,Nacional,2.0
3.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,2.0,Nacional,2.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,2.0,Nacional,2.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
1.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,Personal,1.0
6.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
2.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
6.0,Mexico| Spain,2.0,CSIC| Universidad Autónoma Metropolitana| CSIC - Institute of Agrochemistry and Food Technology| University of Valencia,4.0,Internacional,1.0
3.0,Mexico,1.0,Universidad Autónoma Metropolitana,1.0,UAM,1.0
,,,,,Sin información,0.0
